id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
2,320,unsp,Used,False,129948,21,Gold,3.2,Gasoline,PA,Mid,Premium,Alloy,unsp,26," $6,595.00 "
4,320,unsp,Used,False,140428,19,White,3.2,Gasoline,NY,Mid,Bose,Alloy,unsp,22," $7,993.00 "
7,420,unsp,Used,False,113622,17,Silver,4.2,Gasoline,NJ,Mid,unsp,Alloy,unsp,24," $5,995.00 "
8,420,unsp,Used,False,167673,17,Silver,4.2,Gasoline,GA,SoA,unsp,Alloy,unsp,24," $3,000.00 "
11,500,unsp,Used,False,63457,19,Silver,5,Gasoline,CO,Mtn,Alpine,Alloy,20,23," $14,975.00 "
13,430,unsp,Used,False,82419,14,White,4.3,Gasoline,NJ,Mid,Bose,Alloy,16,35," $7,400.00 "
17,430,unsp,Used,False,101264,16,White,4.3,Gasoline,FL,SoA,unsp,unsp,unsp,6," $10,850.00 "
18,430,unsp,Used,False,110651,15,Black,4.3,Gasoline,FL,SoA,unsp,Alloy,unsp,15," $8,990.00 "
19,430,unsp,Used,False,108173,16,Silver,4.3,Gasoline,TN,ESC,Bose,unsp,unsp,40," $7,950.00 "
21,430,unsp,Used,False,187977,14,Gray,4.3,Gasoline,VA,SoA,Premium,unsp,unsp,37," $6,998.00 "
22,430,unsp,Used,False,106093,14,Silver,4.3,Gasoline,OH,ENC,Bose,unsp,unsp,45," $11,997.00 "
25,430,unsp,Used,False,129167,13,Gold,4.3,Gasoline,TX,WSC,Bose,unsp,unsp,20," $11,459.00 "
26,430,unsp,Used,False,172807,14,Gray,4.3,Gasoline,IL,ENC,Premium,Alloy,unsp,58," $4,995.00 "
27,430,unsp,Used,False,76577,12,Gray,4.3,Gasoline,NJ,Mid,unsp,Alloy,unsp,55," $10,999.00 "
29,430,unsp,Used,False,84097,13,Silver,4.3,Gasoline,MI,ENC,unsp,Alloy,unsp,73," $9,994.00 "
33,430,unsp,Used,False,143997,12,Gray,4.3,Gasoline,CO,Mtn,unsp,Alloy,unsp,53," $9,339.00 "
34,430,unsp,Used,False,125438,12,Silver,4.3,Gasoline,TX,WSC,unsp,unsp,unsp,27," $8,800.00 "
35,430,unsp,Used,False,83507,10,Blue,4.3,Gasoline,AZ,Mtn,Premium,unsp,unsp,32," $16,950.00 "
36,430,unsp,Used,False,121640,15,Blue,4.3,Gasoline,ID,Mtn,unsp,Alloy,unsp,24," $8,995.00 "
46,430,unsp,Used,False,75677,10,Black,4.3,Gasoline,NC,SoA,unsp,unsp,18,49," $23,000.00 "
47,430,unsp,Used,False,126162,16,White,4.3,Gasoline,CA,Pac,Bose,Alloy,16,45," $6,950.00 "
49,55 AMG,unsp,Used,False,120087,15,Silver,5.4,Gasoline,MA,New,Premium,Alloy,unsp,56," $9,988.00 "
50,55 AMG,unsp,Used,True,74002,13,Gold,5.4,Gasoline,TX,WSC,unsp,Alloy,unsp,49," $16,995.00 "
55,55 AMG,unsp,Used,False,71048,10,Black,5.4,Gasoline,NJ,Mid,unsp,unsp,unsp,13," $21,695.00 "
