,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,Actual,Boosting,Lasso,
3265,550,unsp,Used,f,47656,2010,Gray,5.5 L,Gasoline,CA,Pac,unsp,Premium,unsp,19,"359,503","42,371","41,221","317,132"
5380,550,unsp,New,f,8,2015,Black,4.6 L,unsp,AL,ESC,unsp,unsp,unsp,60,"265,097","113,117","112,479","151,980"
3933,unsp,unsp,New,f,19,2015,Black,unsp,unsp,TX,WSC,unsp,Alloy,20,92,"234,915","118,948","110,818","115,967"
4446,unsp,unsp,New,f,17,2015,Black,unsp,unsp,CA,Pac,unsp,unsp,20,88,"234,915","119,222","110,492","115,693"
9144,unsp,unsp,New,f,1,2015,Black,unsp,unsp,CA,Pac,Premium,Alloy,unsp,73,"229,875","120,521","111,065","109,354"
3422,unsp,unsp,New,f,21,2015,White,unsp,unsp,FL,SoA,unsp,unsp,unsp,0,"227,370","118,859","110,762","108,511"
7515,unsp,unsp,New,f,21,2015,unsp,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"198,175","120,624","110,155","77,551"
2754,unsp,unsp,New,f,86,2013,White,unsp,Gasoline,NJ,Mid,unsp,Alloy,unsp,30,"25,849","98,577","96,863","72,728"
9286,500,unsp,Used,f,108960,2006,unsp,5.0 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,58,"86,050","13,771","13,130","72,279"
728,550,unsp,Used,t,13471,2012,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,25,"129,991","62,529","56,000","67,462"
538,550,unsp,CPO,t,35290,2011,Black,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,81,"113,985","51,095","49,985","62,890"
2249,63 AMG,unsp,New,f,26,2015,unsp,unsp,Gasoline,CA,Pac,unsp,unsp,unsp,0,"198,175","143,320","153,774","54,855"
2276,350,unsp,Used,f,43410,2012,Silver,3.0 L,Diesel,NH,New,Harman Kardon,unsp,unsp,75,"99,890","45,578","43,571","54,312"
9691,600,unsp,New,f,9,2015,Black,6.0 L,unsp,NJ,Mid,Premium,Alloy,20,75,"228,475","177,483","175,599","50,992"
1219,unsp,unsp,New,f,65,2015,unsp,unsp,unsp,NJ,Mid,unsp,unsp,unsp,0,"169,525","118,602","109,917","50,923"
5431,600,unsp,New,f,7,2015,Black,6.0 L,unsp,PA,Mid,Premium,Alloy,20,74,"227,925","177,251","175,657","50,674"
8606,600,unsp,New,f,8,2015,Black,6.0 L,unsp,FL,SoA,Premium,Alloy,unsp,72,"228,325","179,098","175,334","49,227"
4611,550,unsp,Used,t,41596,2011,Blue,5.5 L,Gasoline,MO,WNC,Premium,unsp,unsp,36,"96,650","47,672","43,512","48,978"
8233,600,unsp,New,f,8,2015,unsp,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"175,241","132,855","127,593","42,386"
3698,unsp,unsp,New,f,1,2015,Black,unsp,unsp,FL,SoA,unsp,unsp,unsp,0,"162,625","120,706","110,518","41,919"
6184,unsp,unsp,New,f,20,2015,unsp,5.5 L,Gasoline,PA,Mid,Premium,unsp,unsp,76,"198,175","156,855","120,823","41,320"
2189,65 AMG,unsp,New,f,14,2015,Black,unsp,unsp,FL,SoA,unsp,unsp,unsp,45,"225,335","185,121","180,445","40,214"
8124,550,unsp,CPO,f,14172,2013,Silver,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,76,"108,085","69,178","66,132","38,907"
5325,550,unsp,CPO,f,14027,2013,Black,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,77,"108,085","69,732","66,326","38,353"
2805,63 AMG,unsp,New,f,57,2015,Gray,5.5 L,Gasoline,NY,Mid,Premium,Alloy,unsp,67,"146,775","183,598","171,333","36,823"
8797,600,unsp,New,f,1,2015,Silver,6.0 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,73,"170,325","206,763","175,973","36,438"
8443,550,unsp,Used,f,1993,2014,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,65,"139,999","103,570","99,074","36,429"
7521,63 AMG,unsp,New,f,3052,2013,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"164,125","127,771","118,520","36,354"
4853,600,unsp,New,f,10,2013,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"179,135","142,807","145,018","36,328"
1165,550,unsp,New,f,6,2013,Silver,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,5,"69,900","105,755","107,666","35,855"
6101,63 AMG,unsp,New,f,32,2015,Black,unsp,unsp,FL,SoA,unsp,unsp,unsp,0,"168,955","133,531","153,438","35,424"
2689,550,unsp,CPO,t,13828,2013,Gray,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,74,"103,455","68,336","66,587","35,119"
9325,550,unsp,New,f,49,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,95,"149,575","114,566","113,149","35,009"
