"","X","trim","subTrim","condition","isOneOwner","mileage","year","color","displacement","fuel","state","region","soundSystem","wheelType","wheelSize","featureCount","price","pice"
"1","1","550",NA,"New","f",13,"2015","Silver","4.6 L","Gasoline","NJ","Mid",NA,NA,"19",4,0,112319.807071215
"2","2","550",NA,"Used","f",58831,"2008","Black","5.5 L","Gasoline","IL","ENC","Premium","Alloy",NA,67,0,32096.0990402621
"3","3","550",NA,"Used","t",30191,"2010","White","5.5 L","Gasoline","AZ","Mtn",NA,"Alloy",NA,54,0,45385.2150446047
"4","4","550",NA,"New","f",10,"2014","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,61,0,110813.66752565
"5","5","550",NA,"Used","t",35640,"2012","Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,73,0,49205.1063324227
"6","6","550",NA,"New","f",12,"2015","Red","4.6 L","Gasoline","KS","WNC","Premium",NA,"18",92,0,112672.225361805
"7","7","550",NA,"CPO","f",17839,"2012","Black","4.6 L","Gasoline","CA","Pac","Premium","Alloy",NA,70,0,58256.4180773481
"8","8","550",NA,"Used","f",85754,"2007","Silver","5.5 L","Gasoline","TN","ESC","Premium","Alloy",NA,38,0,26419.0055192549
"9","9","550",NA,"New","f",5,"2015","Silver","4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,68,0,112153.53145906
"10","10","550",NA,"New","f",11,"2015","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,1,0,112086.621902635
"11","11","550",NA,"Used","f",42590,"2009","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,NA,75,0,35671.6364446337
"12","12","550",NA,"New","f",3,"2014",NA,"4.6 L","Gasoline","CA","Pac",NA,NA,NA,57,0,111331.478819408
"13","13","550",NA,"Used","f",68980,"2009","Gold","5.5 L","Gasoline","NJ","Mid",NA,NA,NA,60,0,32478.3970528537
"14","14","500",NA,"Used","f",87123,"2000","Gold","5.0 L","Gasoline","NV","Mtn","Premium","Premium",NA,43,0,11587.2585935239
"15","15","550",NA,"New","f",17,"2015","Black","4.6 L","Gasoline","OR","Pac","Premium","Alloy",NA,75,0,112688.570376688
"16","16","550",NA,"New","f",5,"2015",NA,"4.6 L","Gasoline","MD","SoA","Premium","Alloy",NA,67,0,112289.064243065
"17","17","400","Hybrid","Used","f",44374,"2010","White","3.5 L","Hybrid","IL","ENC","Harman Kardon","Alloy",NA,84,0,39743.2963036489
"18","18","550",NA,"New","f",25,"2014","Silver","4.6 L","Gasoline","TX","WSC",NA,NA,NA,1,0,110784.92238893
"19","19","400","Hybrid","Used","t",37161,"2010","Gray","3.5 L","Hybrid","FL","SoA","Premium","Alloy","18",71,0,40052.1541762605
"20","20","550",NA,"CPO","t",11425,"2012","Gray","4.6 L","Gasoline","IL","ENC","Harman Kardon","Alloy",NA,70,0,60873.7182110597
"21","21","550",NA,"Used","f",39491,"2011","Black","5.5 L","Gasoline","NY","Mid","Harman Kardon",NA,NA,22,0,43713.2525499693
"22","22","63 AMG",NA,"New","f",5,"2014","Black","5.5 L","Gasoline","GA","SoA","Premium",NA,NA,67,0,158219.580494833
"23","23","550",NA,"New","f",1,"2014","Black","4.6 L","Gasoline","NY","Mid",NA,NA,NA,3,0,111540.67467296
"24","24","550",NA,"Used","f",83939,"2007","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,NA,34,0,26684.9253280834
"25","25","550",NA,"New","f",276,"2014","Black","4.6 L","Gasoline","PA","Mid","Premium","Alloy","19",77,0,110328.834419945
"26","26","550",NA,"Used","f",72306,"2011","Black","5.5 L","Gasoline","NJ","Mid",NA,NA,NA,5,0,39310.8220653182
"27","27","550",NA,"Used","f",100821,"2007","White","5.5 L","Gasoline","CA","Pac",NA,"Alloy",NA,12,0,26277.2292402617
"28","28","500",NA,"Used","f",126568,"2001","Black","5.0 L","Gasoline","CA","Pac",NA,NA,NA,31,0,8813.76723034899
"29","29","63 AMG",NA,"New","f",15,"2015","Black","5.5 L","Gasoline","HI","Pac","Premium","Alloy",NA,67,0,164463.017558452
"30","30","550",NA,"Used","f",37625,"2010","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,1,0,42940.88463655
"31","31","550",NA,"Used","f",57345,"2007","Black","5.5 L","Gasoline","TX","WSC",NA,"Alloy",NA,45,0,29500.9068136678
"32","32","550",NA,"New","f",9,"2014","Silver","4.6 L","Gasoline","IL","ENC",NA,NA,NA,0,0,110979.463454022
"33","33","430",NA,"Used","f",170400,"2002","Black","4.3 L","Gasoline","VA","SoA",NA,"Alloy",NA,48,0,6295.64136621261
"34","34","65 AMG",NA,"New","f",8,"2015","Black","6.0 L","Gasoline","CA","Pac",NA,NA,NA,4,0,228523.284884027
"35","35","500",NA,"Used","f",114000,"2002","Black","5.0 L","Gasoline","MS","ESC",NA,NA,NA,0,0,10213.5307376387
"36","36","400","Hybrid","Used","t",60146,"2010","Black","3.5 L","Hybrid","MD","SoA","Premium","Alloy",NA,63,0,36773.8882262434
"37","37","550",NA,"Used","f",16718,"2012",NA,"4.6 L","Gasoline","ND","WNC","Premium","Alloy",NA,67,0,54112.6552549191
"38","38","550",NA,"Used","f",21508,"2011",NA,"5.5 L","Gasoline","FL","SoA","Premium","Alloy",NA,64,0,47570.5407443268
"39","39","550",NA,"New","f",15,"2015","Silver","4.6 L","Gasoline","WI","ENC","Premium","Alloy",NA,72,0,112501.505795083
"40","40","550",NA,"Used","f",8394,"2014","Silver","4.6 L","Gasoline","FL","SoA",NA,NA,NA,3,0,94299.7046677068
"41","41","550",NA,"Used","f",74561,"2007","Silver","5.5 L","Gasoline","GA","SoA","Premium","Alloy",NA,18,0,27402.9878297634
"42","42","550",NA,"New","f",15,"2014","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy",NA,66,0,110956.779623605
"43","43","550",NA,"New","f",249,"2014",NA,"4.6 L","Gasoline","MO","WNC",NA,"Alloy","18",52,0,110351.031500916
"44","44","550",NA,"New","f",12,"2015",NA,"4.6 L","Gasoline","CA","Pac",NA,NA,"19",13,0,112485.800937267
"45","45","550",NA,"CPO","f",28543,"2012","Black","4.6 L","Gasoline","OH","ENC",NA,NA,NA,51,0,55949.3054877384
"46","46","550",NA,"New","f",12,"2015","Black","4.6 L","Gasoline","TX","WSC",NA,NA,NA,2,0,112834.332463926
"47","47","550",NA,"Used","f",45463,"2011","Black","5.5 L","Gasoline","NJ","Mid",NA,"Alloy",NA,49,0,42417.9954623531
"48","48","550",NA,"New","f",26,"2014","Black","4.6 L","Gasoline","AZ","Mtn",NA,NA,NA,15,0,110920.273560341
"49","49","350",NA,"New","f",2246,"2013","Black","3.0 L","Diesel","PA","Mid",NA,NA,NA,56,0,84867.7603003652
