id,trim,subTrim,condition,isOneOwner,mileage,mileageRd,age,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price
1,550,unsp,New,FALSE,13,10000,1,Silver,4.6,Gasoline,NJ,Mid,unsp,unsp,19,4,112169.0574
2,550,unsp,Used,FALSE,58831,58831,8,Black,5.5,Gasoline,IL,ENC,Premium,Alloy,unsp,67,33262.38791
3,550,unsp,Used,TRUE,30191,30191,6,White,5.5,Gasoline,AZ,Mtn,unsp,Alloy,unsp,54,47935.50077
4,550,unsp,New,FALSE,10,10000,2,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,61,110720.1435
5,550,unsp,Used,TRUE,35640,35640,4,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,73,50678.82643
6,550,unsp,New,FALSE,12,10000,1,Red,4.6,Gasoline,KS,WNC,Premium,unsp,18,92,114963.1431
7,550,unsp,CPO,FALSE,17839,17839,4,Black,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,70,61322.68561
8,550,unsp,Used,FALSE,85754,85754,9,Silver,5.5,Gasoline,TN,ESC,Premium,Alloy,unsp,38,25280.21771
9,550,unsp,New,FALSE,5,10000,1,Silver,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,68,111035.313
10,550,unsp,New,FALSE,11,10000,1,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,1,112552.6098
11,550,unsp,Used,FALSE,42590,42590,7,Black,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,75,37012.81593
12,550,unsp,New,FALSE,3,10000,2,unsp,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,57,112018.7615
13,550,unsp,Used,FALSE,68980,68980,7,Gold,5.5,Gasoline,NJ,Mid,unsp,unsp,unsp,60,33685.05821
14,500,unsp,Used,FALSE,87123,87123,16,Gold,5,Gasoline,NV,Mtn,Premium,Premium,unsp,43,10071.43652
15,550,unsp,New,FALSE,17,10000,1,Black,4.6,Gasoline,OR,Pac,Premium,Alloy,unsp,75,111687.9231
16,550,unsp,New,FALSE,5,10000,1,unsp,4.6,Gasoline,MD,SoA,Premium,Alloy,unsp,67,115144.9892
17,400,Hybrid,Used,FALSE,44374,44374,6,White,3.5,Hybrid,IL,ENC,Harman Kardon,Alloy,unsp,84,36355.49782
18,550,unsp,New,FALSE,25,10000,2,Silver,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,1,111598.7011
19,400,Hybrid,Used,TRUE,37161,37161,6,Gray,3.5,Hybrid,FL,SoA,Premium,Alloy,18,71,37979.10402
20,550,unsp,CPO,TRUE,11425,11425,4,Gray,4.6,Gasoline,IL,ENC,Harman Kardon,Alloy,unsp,70,63453.43654
21,550,unsp,Used,FALSE,39491,39491,5,Black,5.5,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,22,48941.59765
22,63 AMG,unsp,New,FALSE,5,10000,2,Black,5.5,Gasoline,GA,SoA,Premium,unsp,unsp,67,159232.9642
23,550,unsp,New,FALSE,1,10000,2,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,3,113234.7105
24,550,unsp,Used,FALSE,83939,83939,9,Black,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,34,25366.09761
25,550,unsp,New,FALSE,276,10000,2,Black,4.6,Gasoline,PA,Mid,Premium,Alloy,19,77,109980.2324
26,550,unsp,Used,FALSE,72306,72306,5,Black,5.5,Gasoline,NJ,Mid,unsp,unsp,unsp,5,41331.87259
27,550,unsp,Used,FALSE,100821,100821,9,White,5.5,Gasoline,CA,Pac,unsp,Alloy,unsp,12,24649.69161
28,500,unsp,Used,FALSE,126568,126568,15,Black,5,Gasoline,CA,Pac,unsp,unsp,unsp,31,8061.904352
29,63 AMG,unsp,New,FALSE,15,10000,1,Black,5.5,Gasoline,HI,Pac,Premium,Alloy,unsp,67,165149.8621
30,550,unsp,Used,FALSE,37625,37625,6,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,1,45779.86039
31,550,unsp,Used,FALSE,57345,57345,9,Black,5.5,Gasoline,TX,WSC,unsp,Alloy,unsp,45,28020.30656
32,550,unsp,New,FALSE,9,10000,2,Silver,4.6,Gasoline,IL,ENC,unsp,unsp,unsp,0,110025.4554
33,430,unsp,Used,FALSE,170400,165000,14,Black,4.3,Gasoline,VA,SoA,unsp,Alloy,unsp,48,6943.895979
34,65 AMG,unsp,New,FALSE,8,10000,1,Black,6,Gasoline,CA,Pac,unsp,unsp,unsp,4,230932.8565
35,500,unsp,Used,FALSE,114000,114000,14,Black,5,Gasoline,MS,ESC,unsp,unsp,unsp,0,8577.941228
36,400,Hybrid,Used,TRUE,60146,60146,6,Black,3.5,Hybrid,MD,SoA,Premium,Alloy,unsp,63,33225.60648
37,550,unsp,Used,FALSE,16718,16718,4,unsp,4.6,Gasoline,ND,WNC,Premium,Alloy,unsp,67,59526.62028
38,550,unsp,Used,FALSE,21508,21508,5,unsp,5.5,Gasoline,FL,SoA,Premium,Alloy,unsp,64,53287.78102
