"","X","trim","subTrim","condition","isOneOwner","mileage","year","color","displacement","fuel","state","region","soundSystem","wheelType","wheelSize","featureCount","price"
"1","1","550",NA,"New","f",13,"2015","Silver","4.6 L","Gasoline","NJ","Mid",NA,NA,"19",4,112507.761467994
"2","2","550",NA,"Used","f",58831,"2008","Black","5.5 L","Gasoline","IL","ENC","Premium","Alloy",NA,67,32122.1520655623
"3","3","550",NA,"Used","t",30191,"2010","White","5.5 L","Gasoline","AZ","Mtn",NA,"Alloy",NA,54,45160.0061916061
"4","4","550",NA,"New","f",10,"2014","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,61,110933.524517496
"5","5","550",NA,"Used","t",35640,"2012","Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,73,49448.8523165781
"6","6","550",NA,"New","f",12,"2015","Red","4.6 L","Gasoline","KS","WNC","Premium",NA,"18",92,112611.044331722
"7","7","550",NA,"CPO","f",17839,"2012","Black","4.6 L","Gasoline","CA","Pac","Premium","Alloy",NA,70,58486.2947148665
"8","8","550",NA,"Used","f",85754,"2007","Silver","5.5 L","Gasoline","TN","ESC","Premium","Alloy",NA,38,26552.2915205001
"9","9","550",NA,"New","f",5,"2015","Silver","4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,68,112173.345486194
"10","10","550",NA,"New","f",11,"2015","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,1,112369.856612496
"11","11","550",NA,"Used","f",42590,"2009","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,NA,75,35474.655011524
"12","12","550",NA,"New","f",3,"2014",NA,"4.6 L","Gasoline","CA","Pac",NA,NA,NA,57,111452.873207784
"13","13","550",NA,"Used","f",68980,"2009","Gold","5.5 L","Gasoline","NJ","Mid",NA,NA,NA,60,32164.1416160389
"14","14","500",NA,"Used","f",87123,"2000","Gold","5.0 L","Gasoline","NV","Mtn","Premium","Premium",NA,43,11776.9325130323
"15","15","550",NA,"New","f",17,"2015","Black","4.6 L","Gasoline","OR","Pac","Premium","Alloy",NA,75,112661.34295195
"16","16","550",NA,"New","f",5,"2015",NA,"4.6 L","Gasoline","MD","SoA","Premium","Alloy",NA,67,112278.003292369
"17","17","400","Hybrid","Used","f",44374,"2010","White","3.5 L","Hybrid","IL","ENC","Harman Kardon","Alloy",NA,84,40090.4958303694
"18","18","550",NA,"New","f",25,"2014","Silver","4.6 L","Gasoline","TX","WSC",NA,NA,NA,1,110759.427704328
"19","19","400","Hybrid","Used","t",37161,"2010","Gray","3.5 L","Hybrid","FL","SoA","Premium","Alloy","18",71,40607.5559120721
"20","20","550",NA,"CPO","t",11425,"2012","Gray","4.6 L","Gasoline","IL","ENC","Harman Kardon","Alloy",NA,70,61155.4879618671
"21","21","550",NA,"Used","f",39491,"2011","Black","5.5 L","Gasoline","NY","Mid","Harman Kardon",NA,NA,22,43544.6484802305
"22","22","63 AMG",NA,"New","f",5,"2014","Black","5.5 L","Gasoline","GA","SoA","Premium",NA,NA,67,158053.650908778
"23","23","550",NA,"New","f",1,"2014","Black","4.6 L","Gasoline","NY","Mid",NA,NA,NA,3,111756.648931578
"24","24","550",NA,"Used","f",83939,"2007","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,NA,34,26866.7981706415
"25","25","550",NA,"New","f",276,"2014","Black","4.6 L","Gasoline","PA","Mid","Premium","Alloy","19",77,110078.269226307
"26","26","550",NA,"Used","f",72306,"2011","Black","5.5 L","Gasoline","NJ","Mid",NA,NA,NA,5,39143.1098744297
"27","27","550",NA,"Used","f",100821,"2007","White","5.5 L","Gasoline","CA","Pac",NA,"Alloy",NA,12,26341.6493496525
"28","28","500",NA,"Used","f",126568,"2001","Black","5.0 L","Gasoline","CA","Pac",NA,NA,NA,31,8932.17311256511
"29","29","63 AMG",NA,"New","f",15,"2015","Black","5.5 L","Gasoline","HI","Pac","Premium","Alloy",NA,67,164280.946625968
"30","30","550",NA,"Used","f",37625,"2010","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,1,42652.8323053905
"31","31","550",NA,"Used","f",57345,"2007","Black","5.5 L","Gasoline","TX","WSC",NA,"Alloy",NA,45,29596.7141543926
"32","32","550",NA,"New","f",9,"2014","Silver","4.6 L","Gasoline","IL","ENC",NA,NA,NA,0,111041.92303993
"33","33","430",NA,"Used","f",170400,"2002","Black","4.3 L","Gasoline","VA","SoA",NA,"Alloy",NA,48,6519.6571888
"34","34","65 AMG",NA,"New","f",8,"2015","Black","6.0 L","Gasoline","CA","Pac",NA,NA,NA,4,228073.319993193
"35","35","500",NA,"Used","f",114000,"2002","Black","5.0 L","Gasoline","MS","ESC",NA,NA,NA,0,10334.3834501071
"36","36","400","Hybrid","Used","t",60146,"2010","Black","3.5 L","Hybrid","MD","SoA","Premium","Alloy",NA,63,37263.0156216493
"37","37","550",NA,"Used","f",16718,"2012",NA,"4.6 L","Gasoline","ND","WNC","Premium","Alloy",NA,67,54288.292098562
"38","38","550",NA,"Used","f",21508,"2011",NA,"5.5 L","Gasoline","FL","SoA","Premium","Alloy",NA,64,47548.4755984084
"39","39","550",NA,"New","f",15,"2015","Silver","4.6 L","Gasoline","WI","ENC","Premium","Alloy",NA,72,112514.822694981
"40","40","550",NA,"Used","f",8394,"2014","Silver","4.6 L","Gasoline","FL","SoA",NA,NA,NA,3,94118.9840345681
"41","41","550",NA,"Used","f",74561,"2007","Silver","5.5 L","Gasoline","GA","SoA","Premium","Alloy",NA,18,27556.9454660726
"42","42","550",NA,"New","f",15,"2014","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy",NA,66,110947.963464655
"43","43","550",NA,"New","f",249,"2014",NA,"4.6 L","Gasoline","MO","WNC",NA,"Alloy","18",52,110109.011834605
"44","44","550",NA,"New","f",12,"2015",NA,"4.6 L","Gasoline","CA","Pac",NA,NA,"19",13,112593.14058849
"45","45","550",NA,"CPO","f",28543,"2012","Black","4.6 L","Gasoline","OH","ENC",NA,NA,NA,51,56155.2480536406
"46","46","550",NA,"New","f",12,"2015","Black","4.6 L","Gasoline","TX","WSC",NA,NA,NA,2,112740.656509649
"47","47","550",NA,"Used","f",45463,"2011","Black","5.5 L","Gasoline","NJ","Mid",NA,"Alloy",NA,49,42282.6534162334
"48","48","550",NA,"New","f",26,"2014","Black","4.6 L","Gasoline","AZ","Mtn",NA,NA,NA,15,110855.757284692
"49","49","350",NA,"New","f",2246,"2013","Black","3.0 L","Diesel","PA","Mid",NA,NA,NA,56,84481.3914952759
"50","50","550",NA,"Used","f",73028,"2008","Black","5.5 L","Gasoline","CT","New",NA,"Alloy",NA,73,30544.2164032781
"51","51","550",NA,"Used","f",51890,"2008","Black","5.5 L","Gasoline","NJ","Mid",NA,"Alloy",NA,64,33038.536607213
"52","52","550",NA,"CPO","t",3055,"2013","White","4.6 L","Gasoline","NJ","Mid","Premium","Alloy",NA,69,75622.8772536633
"53","53","550",NA,"New","f",12,"2015","Blue","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",72,112552.783565254
"54","54","430",NA,"Used","f",67530,"2005","Gray","4.3 L","Gasoline","CA","Pac",NA,NA,NA,6,16092.3793451402
"55","55","500",NA,"Used","f",126198,"2001","Blue","5.0 L","Gasoline","VA","SoA",NA,"Alloy",NA,73,8676.80621620087
"56","56","550",NA,"New","f",8,"2014","Black","4.6 L","Gasoline","MA","New",NA,NA,NA,54,111181.665503916
"57","57","550",NA,"Used","t",9628,"2013","White","4.6 L","Gasoline","FL","SoA",NA,NA,NA,93,65976.6087550592
"58","58","550",NA,"New","f",7,"2015","Blue","4.6 L","Gasoline","CA","Pac",NA,NA,NA,2,112407.483791319
"59","59","550",NA,"CPO","t",12736,"2012","Black","4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,64,60567.1601343376
"60","60","430",NA,"Used","f",114004,"2004",NA,"4.3 L","Gasoline","CA","Pac",NA,"Alloy",NA,54,11692.8347897743
"61","61","550",NA,"CPO","t",33073,"2012","Black","4.6 L","Gasoline","FL","SoA","Harman Kardon","Alloy","18",73,55200.6048905109
"62","62","550",NA,"New","f",10,"2014","Blue","4.6 L","Gasoline","MA","New",NA,"Alloy","18",82,111069.044580558
"63","63","550",NA,"New","f",9,"2015","Red","4.6 L","Gasoline","MA","New",NA,"Alloy","18",105,112468.82069121
"64","64","63 AMG",NA,"New","f",8,"2015","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,2,164453.857993289
"65","65","550",NA,"Used","t",60755,"2007",NA,"5.5 L","Gasoline","CA","Pac",NA,"Alloy",NA,77,29463.0506882521
"66","66","63 AMG",NA,"New","f",91,"2013","White","5.5 L","Gasoline","CA","Pac","Harman Kardon",NA,NA,35,133715.746653317
"67","67","550",NA,"Used","f",13200,"2013","Black","4.6 L","Gasoline","CA","Pac","Harman Kardon","Alloy",NA,60,62410.5530688095
"68","68","63 AMG",NA,"New","f",18,"2015","Black","5.5 L","Gasoline","NY","Mid",NA,NA,NA,4,164283.677780388
"69","69","550",NA,"New","f",7,"2013","Black","4.6 L","Gasoline","CA","Pac","Premium","Premium",NA,58,107596.776952012
"70","70","550",NA,"New","f",50,"2012","Black","4.6 L","Gasoline","WA","Pac","Harman Kardon","Alloy",NA,89,96219.4253493814
"71","71","550",NA,"CPO","t",15756,"2013","Silver","4.6 L","Gasoline","CA","Pac","Harman Kardon","Alloy",NA,75,65983.9155168435
"72","72",NA,NA,"New","f",12,"2015","Blue","4.7 L","Gasoline","MA","New","Premium","Alloy",NA,76,132343.441470531
"73","73","550",NA,"CPO","f",5120,"2014","Silver","4.6 L","Gasoline","GA","SoA","Premium","Alloy","20",126,96534.4911872473
"74","74","430",NA,"Used","f",93262,"2000","Black","4.3 L","Gasoline","FL","SoA",NA,"Alloy",NA,56,10212.7178895371
"75","75","430",NA,"Used","f",104470,"2003","Blue","4.3 L","Gasoline","MA","New",NA,NA,NA,5,11390.2839180132
"76","76","550",NA,"Used","f",83206,"2012","Black","4.6 L","Gasoline","PA","Mid","Premium","Alloy",NA,74,43447.5300439037
"77","77","550",NA,"Used","f",26496,"2012","Black","4.6 L","Gasoline","IL","ENC",NA,NA,NA,31,51402.7573613265
"78","78","550",NA,"New","f",10,"2013",NA,"4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,61,106282.530638238
"79","79","65 AMG",NA,"CPO","f",23702,"2013","Beige","6.0 L","Gasoline","AZ","Mtn","Premium",NA,NA,82,124765.51020782
"80","80","550",NA,"New","f",9,"2015","Black","4.6 L","Gasoline","IL","ENC",NA,NA,"19",18,112499.452372852
"81","81","55 AMG",NA,"Used","f",131142,"2002","Silver","5.4 L","Gasoline","FL","SoA",NA,NA,NA,0,13410.3573676688
"82","82","550",NA,"CPO","t",32617,"2011","White","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,79,51371.6820858469
"83","83","550",NA,"New","f",837,"2014","Black","4.6 L","Gasoline","NY","Mid",NA,NA,NA,51,109895.794834911
"84","84","550",NA,"Used","f",124801,"2007","White","5.5 L","Gasoline","GA","SoA",NA,"Alloy",NA,39,24767.1316225895
"85","85","550",NA,"New","f",51,"2015","Black","4.6 L","Gasoline","TN","ESC",NA,"Premium",NA,12,113073.513221848
"86","86","550",NA,"Used","f",41230,"2007","Gray","5.5 L","Gasoline","OH","ENC",NA,"Alloy",NA,76,32004.9212159955
"87","87","550",NA,"Used","f",18333,"2013",NA,"4.6 L","Gasoline","MD","SoA","Premium","Alloy",NA,62,60311.5174644228
"88","88","550",NA,"Used","f",65995,"2007","Gray","5.5 L","Gasoline","NV","Mtn","Premium",NA,NA,31,28816.6089440717
"89","89","550",NA,"Used","f",25522,"2011","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,"18",36,46523.5873557191
"90","90","550",NA,"New","f",1,"2015","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",74,111782.377455979
"91","91","550",NA,"New","f",22255,"2013","White","4.6 L","Gasoline","KY","ESC","Premium","Alloy",NA,63,80128.7919167951
"92","92","63 AMG",NA,"Used","f",59971,"2008",NA,"6.3 L","Gasoline","FL","SoA",NA,NA,NA,2,44991.6441858844
"93","93","550",NA,"New","f",14,"2014","Silver","4.6 L","Gasoline","FL","SoA","Premium",NA,NA,67,110732.824533421
"94","94","550",NA,"Used","f",61103,"2009","Red","5.5 L","Gasoline","MI","ENC",NA,NA,NA,17,33046.5508625076
"95","95","550",NA,"Used","f",86725,"2009","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon","Alloy","18",60,30047.1468297828
"96","96","550",NA,"Used","f",18530,"2008","White","5.5 L","Gasoline","CA","Pac","Premium","Alloy",NA,64,41418.6509080876
"97","97","550",NA,"New","f",5,"2014","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,0,111126.191125064
"98","98","550",NA,"Used","f",78270,"2008","Gray","5.5 L","Gasoline","TX","WSC","Harman Kardon",NA,NA,51,30287.3938823756
"99","99","65 AMG",NA,"Used","f",58142,"2007","Black","6.0 L","Gasoline","TX","WSC","Premium",NA,NA,47,53165.9171085945
"100","100","550",NA,"CPO","t",36255,"2011","Black","5.5 L","Gasoline","NC","SoA",NA,"Alloy",NA,79,49862.5042217526
