"","X","trim","subTrim","condition","isOneOwner","mileage","year","color","displacement","fuel","state","region","soundSystem","wheelType","wheelSize","featureCount","price"
"2",4,"320","unsp","Used","f",140428,1997,"White","3.2 L","Gasoline","NY","Mid","Bose","Alloy","unsp",22,7993
"3",7,"420","unsp","Used","f",113622,1999,"Silver","4.2 L","Gasoline","NJ","Mid","unsp","Alloy","unsp",24,5995
"4",8,"420","unsp","Used","f",167673,1999,"Silver","4.2 L","Gasoline","GA","SoA","unsp","Alloy","unsp",24,3000
"5",11,"500","unsp","Used","f",63457,1997,"Silver","5.0 L","Gasoline","CO","Mtn","Alpine","Alloy","20",23,14975
"6",13,"430","unsp","Used","f",82419,2002,"White","4.3 L","Gasoline","NJ","Mid","Bose","Alloy","16",35,7400
"8",18,"430","unsp","Used","f",110651,2001,"Black","4.3 L","Gasoline","FL","SoA","unsp","Alloy","unsp",15,8990
"9",19,"430","unsp","Used","f",108173,2000,"Silver","4.3 L","Gasoline","TN","ESC","Bose","unsp","unsp",40,7950
"10",21,"430","unsp","Used","f",187977,2002,"Gray","4.3 L","Gasoline","VA","SoA","Premium","unsp","unsp",37,6998
"11",22,"430","unsp","Used","f",106093,2002,"Silver","4.3 L","Gasoline","OH","ENC","Bose","unsp","unsp",45,11997
"12",25,"430","unsp","Used","f",129167,2003,"Gold","4.3 L","Gasoline","TX","WSC","Bose","unsp","unsp",20,11459
"13",26,"430","unsp","Used","f",172807,2002,"Gray","4.3 L","Gasoline","IL","ENC","Premium","Alloy","unsp",58,4995
"14",27,"430","unsp","Used","f",76577,2004,"Gray","4.3 L","Gasoline","NJ","Mid","unsp","Alloy","unsp",55,10999
"16",33,"430","unsp","Used","f",143997,2004,"Gray","4.3 L","Gasoline","CO","Mtn","unsp","Alloy","unsp",53,9339
"17",34,"430","unsp","Used","f",125438,2004,"Silver","4.3 L","Gasoline","TX","WSC","unsp","unsp","unsp",27,8800
"18",35,"430","unsp","Used","f",83507,2006,"Blue","4.3 L","Gasoline","AZ","Mtn","Premium","unsp","unsp",32,16950
"19",36,"430","unsp","Used","f",121640,2001,"Blue","4.3 L","Gasoline","ID","Mtn","unsp","Alloy","unsp",24,8995
"20",46,"430","unsp","Used","f",75677,2006,"Black","4.3 L","Gasoline","NC","SoA","unsp","unsp","18",49,23000
"21",47,"430","unsp","Used","f",126162,2000,"White","4.3 L","Gasoline","CA","Pac","Bose","Alloy","16",45,6950
"24",55,"55 AMG","unsp","Used","f",71048,2006,"Black","5.4 L","Gasoline","NJ","Mid","unsp","unsp","unsp",13,21695
"25",56,"500","unsp","Used","f",131649,2002,"Black","5.0 L","Gasoline","NY","Mid","unsp","unsp","unsp",7,4995
"26",57,"500","unsp","Used","f",79858,2003,"Black","5.0 L","Gasoline","CA","Pac","unsp","Alloy","unsp",49,12999
"27",62,"500","unsp","Used","f",107104,2003,"Blue","5.0 L","Gasoline","IL","ENC","unsp","Alloy","unsp",56,8996
"28",65,"500","unsp","Used","f",98041,2001,"Black","5.0 L","Gasoline","VA","SoA","unsp","Alloy","unsp",36,7000
"29",67,"500","unsp","Used","f",133331,2002,"Beige","5.0 L","Gasoline","FL","SoA","unsp","Alloy","unsp",45,10988
"33",72,"500","unsp","Used","f",101000,2006,"Silver","5.0 L","Gasoline","MS","ESC","unsp","unsp","unsp",0,19999
"34",73,"500","unsp","Used","f",70330,2003,"Black","5.0 L","Gasoline","KS","WNC","unsp","Alloy","unsp",50,11495
"35",74,"500","unsp","Used","f",66174,2000,"Silver","5.0 L","Gasoline","NY","Mid","Bose","Alloy","unsp",39,8995
"36",76,"500","unsp","Used","f",141499,2002,"Beige","5.0 L","Gasoline","OH","ENC","unsp","Alloy","unsp",43,5995
"37",77,"500","unsp","Used","f",111971,2004,"Black","5.0 L","Gasoline","TX","WSC","unsp","Alloy","unsp",52,12888
"39",81,"500","unsp","Used","f",149960,2003,"Black","5.0 L","Gasoline","PA","Mid","Bose","unsp","unsp",45,5995
"40",82,"500","unsp","Used","f",113020,2001,"Gray","5.0 L","Gasoline","CA","Pac","Bose","Premium","unsp",46,9995
"41",83,"500","unsp","Used","f",75720,2002,"Black","5.0 L","Gasoline","NC","SoA","unsp","unsp","unsp",42,11991
"43",85,"500","unsp","Used","f",107333,2001,"Black","5.0 L","Gasoline","GA","SoA","unsp","Alloy","unsp",26,10500
"44",86,"500","unsp","Used","f",119356,2003,"Black","5.0 L","Gasoline","GA","SoA","unsp","unsp","unsp",37,9992
"45",87,"500","unsp","Used","f",77985,2000,"Black","5.0 L","Gasoline","FL","SoA","Premium","Alloy","unsp",42,6995
"46",89,"600","unsp","Used","f",7009,2001,"Gray","5.8 L","Gasoline","PA","Mid","unsp","Alloy","unsp",30,21988
"47",90,"600","unsp","Used","f",179567,2002,"Silver","5.8 L","Gasoline","NC","SoA","unsp","Alloy","unsp",75,6992
"48",92,"430","unsp","Used","f",69903,2006,"Black","4.3 L","Gasoline","MA","New","unsp","unsp","unsp",11,15995
"49",94,"430","unsp","Used","f",188321,2003,"Silver","4.3 L","Gasoline","IN","ENC","unsp","Alloy","unsp",50,8914
"50",96,"430","unsp","Used","f",107480,2006,"unsp","4.3 L","Gasoline","KY","ESC","unsp","Alloy","unsp",49,12950
"51",97,"430","unsp","Used","f",112732,2004,"White","4.3 L","Gasoline","MD","SoA","Bose","Alloy","unsp",70,11960
"52",98,"430","unsp","Used","f",99820,2005,"Silver","4.3 L","Gasoline","GA","SoA","unsp","Alloy","unsp",35,12999
"53",99,"430","unsp","Used","f",119621,2005,"Silver","4.3 L","Gasoline","OH","ENC","unsp","Alloy","unsp",70,13991
"54",102,"430","unsp","Used","f",71377,2003,"Blue","4.3 L","Gasoline","MD","SoA","Premium","unsp","unsp",38,11950
"55",107,"500","unsp","Used","f",109108,2003,"Black","5.0 L","Gasoline","PA","Mid","unsp","unsp","unsp",9,12995
"56",108,"550","unsp","Used","f",56290,2007,"Black","5.5 L","Gasoline","NC","SoA","unsp","unsp","unsp",0,29481
"57",109,"550","unsp","Used","f",85201,2007,"Black","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",0,23492
"59",112,"550","unsp","CPO","f",53330,2009,"Black","5.5 L","Gasoline","AZ","Mtn","Harman Kardon","unsp","unsp",30,39991
"61",114,"550","unsp","Used","f",66400,2007,"Silver","5.5 L","Gasoline","TX","WSC","Premium","Alloy","unsp",41,28900
"62",117,"550","unsp","Used","f",103557,2007,"Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","unsp","unsp",69,25998
"63",118,"550","unsp","Used","f",70011,2007,"Silver","5.5 L","Gasoline","FL","SoA","Premium","Alloy","unsp",57,37991
"64",119,"550","unsp","Used","f",109431,2008,"White","5.5 L","Gasoline","GA","SoA","Bose","unsp","unsp",99,27495
"65",120,"550","unsp","Used","f",60000,2007,"White","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,24900
"66",121,"550","unsp","CPO","f",45175,2009,"White","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",2,45900
"67",122,"550","unsp","Used","f",66000,2007,"Black","5.5 L","Gasoline","NY","Mid","Premium","unsp","unsp",32,36990
"68",123,"550","unsp","Used","t",90000,2007,"Black","5.5 L","Gasoline","GA","SoA","unsp","Alloy","unsp",45,26977
"69",124,"550","unsp","Used","f",22537,2008,"White","5.5 L","Gasoline","AL","ESC","unsp","Alloy","unsp",43,38890
"70",125,"550","unsp","Used","f",88984,2007,"Black","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,20995
"71",126,"550","unsp","Used","f",60985,2007,"Silver","5.5 L","Gasoline","CA","Pac","unsp","Alloy","unsp",19,28981
"72",127,"550","unsp","Used","f",62495,2008,"Black","5.5 L","Gasoline","FL","SoA","Harman Kardon","unsp","unsp",55,26500
"73",128,"550","unsp","Used","f",88301,2008,"Black","5.5 L","Gasoline","TX","WSC","Harman Kardon","unsp","unsp",22,28991
"74",131,"550","unsp","Used","f",91091,2009,"Black","5.5 L","Gasoline","AZ","Mtn","Harman Kardon","Alloy","unsp",43,27898
"75",133,"550","unsp","CPO","f",51792,2009,"Silver","5.5 L","Gasoline","SC","SoA","Premium","Alloy","unsp",71,41800
"76",134,"550","unsp","Used","f",69479,2007,"Silver","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",17,24883
"77",135,"550","unsp","Used","f",83457,2007,"Black","5.5 L","Gasoline","CA","Pac","unsp","unsp","19",31,31999
"78",136,"550","unsp","Used","f",89511,2007,"Silver","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",37,18998
"79",140,"550","unsp","Used","f",121000,2007,"Green","5.5 L","Gasoline","LA","WSC","unsp","unsp","unsp",0,26900
"80",141,"550","unsp","Used","f",124873,2007,"White","5.5 L","Gasoline","NJ","Mid","Harman Kardon","unsp","unsp",68,18525
"81",143,"550","unsp","Used","f",82289,2008,"Silver","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",2,26488
"83",146,"550","unsp","Used","f",96841,2007,"Gray","5.5 L","Gasoline","FL","SoA","Premium","unsp","unsp",58,21997
"84",147,"550","unsp","Used","f",38578,2007,"Black","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",14,26884
"86",152,"550","unsp","Used","t",9239,2009,"Black","5.5 L","Gasoline","TX","WSC","unsp","unsp","unsp",4,39000
"87",157,"550","unsp","Used","f",113473,2007,"Black","5.5 L","Gasoline","NC","SoA","unsp","unsp","unsp",58,28550
"89",161,"550","unsp","Used","f",67065,2008,"Gray","5.5 L","Gasoline","FL","SoA","Harman Kardon","Alloy","unsp",31,30995
"90",164,"550","unsp","Used","t",131621,2007,"Black","5.5 L","Gasoline","FL","SoA","Harman Kardon","Alloy","unsp",18,19881
"91",166,"550","unsp","Used","f",55280,2008,"Black","5.5 L","Gasoline","NC","SoA","Premium","Alloy","unsp",55,34999
"92",167,"550","unsp","Used","f",94700,2008,"Blue","5.5 L","Gasoline","CA","Pac","Premium","Alloy","unsp",61,27495
"93",169,"600","unsp","Used","t",120929,2008,"Silver","5.5 L","Gasoline","PA","Mid","unsp","Alloy","unsp",57,28950
"95",172,"63 AMG","unsp","Used","t",59597,2008,"Black","6.3 L","Gasoline","NJ","Mid","Harman Kardon","unsp","20",59,44695
"96",176,"550","unsp","Used","f",28199,2010,"Silver","5.5 L","Gasoline","TN","ESC","Premium","unsp","unsp",40,42625
"97",177,"550","unsp","CPO","f",30851,2011,"Black","5.5 L","Gasoline","TX","WSC","unsp","Alloy","unsp",57,55695
"98",178,"550","unsp","Used","f",30351,2011,"White","5.5 L","Gasoline","CA","Pac","Harman Kardon","Alloy","unsp",56,52888
"100",181,"550","unsp","Used","f",40063,2010,"White","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",5,43981
"101",182,"550","unsp","Used","f",37274,2010,"Silver","5.5 L","Gasoline","AL","ESC","Harman Kardon","Alloy","18",74,38000
"102",183,"550","unsp","Used","f",51066,2011,"Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","unsp","unsp",60,44999
"103",184,"550","unsp","Used","t",27942,2010,"White","5.5 L","Gasoline","FL","SoA","Harman Kardon","unsp","unsp",88,45900
"104",185,"550","unsp","Used","f",59037,2010,"Black","5.5 L","Gasoline","GA","SoA","Premium","unsp","unsp",51,39800
"105",187,"550","unsp","Used","f",28752,2011,"White","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",77,56995
"106",188,"550","unsp","Used","f",49394,2010,"Black","5.5 L","Gasoline","FL","SoA","Premium","Alloy","unsp",67,33988
"108",190,"550","unsp","Used","f",65096,2010,"Black","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",0,32907
"109",192,"550","unsp","Used","f",24922,2011,"Silver","5.5 L","Gasoline","CA","Pac","Harman Kardon","Alloy","unsp",38,56971
