,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount
1,550,unsp,New,f,13,2015,Silver,4.6 L,Gasoline,NJ,Mid,unsp,unsp,19,4
2,550,unsp,Used,f,58831,2008,Black,5.5 L,Gasoline,IL,ENC,Premium,Alloy,unsp,67
3,550,unsp,Used,t,30191,2010,White,5.5 L,Gasoline,AZ,Mtn,unsp,Alloy,unsp,54
4,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,61
5,550,unsp,Used,t,35640,2012,Black,4.6 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,73
6,550,unsp,New,f,12,2015,Red,4.6 L,Gasoline,KS,WNC,Premium,unsp,18,92
7,550,unsp,CPO,f,17839,2012,Black,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,70
8,550,unsp,Used,f,85754,2007,Silver,5.5 L,Gasoline,TN,ESC,Premium,Alloy,unsp,38
9,550,unsp,New,f,5,2015,Silver,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,68
10,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,1
11,550,unsp,Used,f,42590,2009,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,75
12,550,unsp,New,f,3,2014,unsp,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,57
13,550,unsp,Used,f,68980,2009,Gold,5.5 L,Gasoline,NJ,Mid,unsp,unsp,unsp,60
14,500,unsp,Used,f,87123,2000,Gold,5.0 L,Gasoline,NV,Mtn,Premium,Premium,unsp,43
15,550,unsp,New,f,17,2015,Black,4.6 L,Gasoline,OR,Pac,Premium,Alloy,unsp,75
16,550,unsp,New,f,5,2015,unsp,4.6 L,Gasoline,MD,SoA,Premium,Alloy,unsp,67
17,400,Hybrid,Used,f,44374,2010,White,3.5 L,Hybrid,IL,ENC,Harman Kardon,Alloy,unsp,84
18,550,unsp,New,f,25,2014,Silver,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,1
19,400,Hybrid,Used,t,37161,2010,Gray,3.5 L,Hybrid,FL,SoA,Premium,Alloy,18,71
20,550,unsp,CPO,t,11425,2012,Gray,4.6 L,Gasoline,IL,ENC,Harman Kardon,Alloy,unsp,70
21,550,unsp,Used,f,39491,2011,Black,5.5 L,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,22
22,63 AMG,unsp,New,f,5,2014,Black,5.5 L,Gasoline,GA,SoA,Premium,unsp,unsp,67
23,550,unsp,New,f,1,2014,Black,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,3
24,550,unsp,Used,f,83939,2007,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,34
25,550,unsp,New,f,276,2014,Black,4.6 L,Gasoline,PA,Mid,Premium,Alloy,19,77
26,550,unsp,Used,f,72306,2011,Black,5.5 L,Gasoline,NJ,Mid,unsp,unsp,unsp,5
27,550,unsp,Used,f,100821,2007,White,5.5 L,Gasoline,CA,Pac,unsp,Alloy,unsp,12
28,500,unsp,Used,f,126568,2001,Black,5.0 L,Gasoline,CA,Pac,unsp,unsp,unsp,31
29,63 AMG,unsp,New,f,15,2015,Black,5.5 L,Gasoline,HI,Pac,Premium,Alloy,unsp,67
30,550,unsp,Used,f,37625,2010,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,1
31,550,unsp,Used,f,57345,2007,Black,5.5 L,Gasoline,TX,WSC,unsp,Alloy,unsp,45
32,550,unsp,New,f,9,2014,Silver,4.6 L,Gasoline,IL,ENC,unsp,unsp,unsp,0
33,430,unsp,Used,f,170400,2002,Black,4.3 L,Gasoline,VA,SoA,unsp,Alloy,unsp,48
34,65 AMG,unsp,New,f,8,2015,Black,6.0 L,Gasoline,CA,Pac,unsp,unsp,unsp,4
35,500,unsp,Used,f,114000,2002,Black,5.0 L,Gasoline,MS,ESC,unsp,unsp,unsp,0
36,400,Hybrid,Used,t,60146,2010,Black,3.5 L,Hybrid,MD,SoA,Premium,Alloy,unsp,63
