iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
1988,8,19,Lisnaskea,603,8,Northern Ireland,0,
1987,5,25,Ponce,217,1,Puerto Rico,0,
2001,11,9,Jakarta,93,5,Jakarta (Special Capital Region),0,0
1984,10,11,Arauca,45,3,Arauca,,
2006,4,6,Karachi,153,6,Sindh,0,0
1981,2,16,Paris,69,8,Paris,0,
1977,6,30,Florence,98,8,Tuscany,1,
2014,3,31,Tillo,209,10,Siirt,1,0
2011,3,24,Landi Kotal,153,6,Federally Administered Tribal Areas,0,0
2015,5,5,Sufiyah,95,10,Al Anbar,0,0
2003,7,3,Nong Chik District,205,5,Pattani (Province),2,0
2000,5,20,Marseille,69,8,Provence-Alpes-Cote d'Azur,0,0
2009,6,6,Kunduz,4,6,Kunduz,0,0
2014,10,1,Imphal,92,6,Manipur,1,0
2009,6,22,Khost,4,6,Khost,7,1
1985,8,11,Santiago,43,3,Santiago Metropolitan,0,
1990,10,30,Tel Aviv,97,10,Tel Aviv,1,1
1991,3,7,Nablus,155,10,West Bank,0,
2014,1,14,Tuba,147,11,Borno,5,0
1970,5,4,Norman,217,1,Oklahoma,0,0
1992,9,25,Oranienburg,75,8,Brandenburg,0,
2009,12,27,Taoudouch,6,10,Tizi Ouzou Province,0,0
2008,12,31,General Santos,160,5,South Cotabato,0,0
2011,5,16,Maynooth,96,8,Kildare,0,0
2014,3,2,Borsah,95,10,Nineveh,0,0
2009,7,17,Nizhniye Achaluki,167,9,Ingushetia,2,0
1977,8,19,Diyarbakir,209,10,Diyarbakir,,
2016,2,13,Jalalzo,4,6,Helmand,7,5
2009,7,4,Quetta,153,6,Balochistan,0,0
2009,1,10,Sibi,153,6,Balochistan,2,0
2013,4,11,Tiixo,182,11,Lower Juba,,
2011,5,26,Baghdad,95,10,Baghdad,0,0
2015,1,15,Dhaka,19,6,Dhaka,0,0
2014,3,24,Fallujah,95,10,Al Anbar,1,0
1997,6,12,Paez district,222,3,Miranda,0,
2010,5,13,Nawa-i-Barakzayi district,4,6,Helmand,2,0
2013,11,19,Swabi District,153,6,Khyber Pakhtunkhwa,2,0
2012,9,11,Sultangazi district,209,10,Istanbul,2,1
2014,12,16,Tripoli,113,10,Tripoli,0,0
2016,7,10,Pulwama,92,6,Jammu and Kashmir,0,0
1983,5,8,Cerro El Castillo,145,2,,,
1992,8,7,Baraka Bounao,174,11,Ziguinchor,0,
1995,7,9,Karachi,153,6,Sindh,0,
2008,2,1,Unknown,195,11,Central Equatoria,4,0
1979,5,29,San Salvador,61,2,,0,
1992,12,16,San Pedro de Uraba,45,3,Antioquia,5,
1992,8,26,Marseilles,69,8,Provence-Alpes-Cote d'Azur,0,
2013,10,6,Muslimabad,153,6,Khyber Pakhtunkhwa,0,0
2014,10,24,Kagizman,209,10,Kars,3,3
2016,1,7,Philadelphia,217,1,Pennsylvania,0,0
2011,11,27,Baghdad,95,10,Baghdad,2,0
1983,8,5,Unknown,155,10,West Bank,3,
2014,2,18,Unknown,95,10,Nineveh,0,0
1986,8,22,Umlazi,183,11,KwaZulu-Natal,1,0
1984,4,8,Palmira,45,3,Valle del Cauca,1,
1981,3,31,Bulawayo,231,11,Bulawayo,2,
2013,3,12,Chtaura,110,10,Beqaa,1,0
2010,3,13,Mosul,95,10,Nineveh,0,0
1979,3,23,Newry,603,8,Northern Ireland,,
1984,5,25,Magdeburg,499,9,,0,
1997,2,2,Unknown,69,8,Corsica,0,
1984,6,2,San Fernando,145,2,,0,
2014,7,17,Baghdad,95,10,Baghdad,5,1
1986,6,21,San Fernando,45,3,Magdalena,10,
1995,6,6,Arba Minch,65,11,Southern Nations,1,
2015,7,15,Faiyum,60,10,Faiyum,0,0
2016,7,14,Tumakuru,92,6,Karnataka,0,0
2014,7,23,Jalawla,95,10,Diyala,1,0
2004,1,15,Tikrit,95,10,Saladin,3,0
2005,7,31,Haswah,95,10,Babil,7,0
2013,3,17,Khok Pho district,205,5,Pattani,1,0
1984,7,17,Onambo,139,11,Unknown,0,
1999,7,21,Baramulla,92,6,Jammu and Kashmir,3,0
1980,7,2,San Salvador,61,2,,,
1986,6,8,Jutiapa,61,2,,,
1987,8,2,Chalhuanca district,159,3,Apurimac,0,
1983,7,7,Bogota,45,3,Bogota,0,
2012,7,21,Spin Thal,153,6,Federally Administered Tribal Areas,10,1
1997,4,11,Belgrade,235,9,,1,
1992,12,10,Dublin,96,8,Dublin,0,
2007,11,18,Parachinar,153,6,Federally Administered Tribal Areas,90,
1990,2,2,Nawashah,153,6,Punjab,3,
2007,1,1,Jaffna,186,6,Northern,1,0
2009,5,11,Kadiria,6,10,Bouira Province,0,0
2012,4,7,Khash Rod,4,6,Nimroz,0,0
1997,7,26,San Francisco,217,1,California,0,
2008,9,8,Rawalpindi,153,6,Punjab,0,0
1995,3,29,Offenbach,75,8,Hesse,0,
2013,9,16,Benghazi,113,10,Benghazi,0,0
1991,4,5,Trincomalee,186,6,Eastern,6,
1988,6,14,Phagwara,92,6,Punjab,1,
2015,10,12,Tenambo,229,11,North Kivu,3,0
2004,2,19,Grozny,167,9,Chechnya (Federal District),0,0
2014,11,12,Giza,60,10,Giza,1,1
1984,4,9,Zuinuapata,159,3,Unknown,2,
2015,3,9,Bujumbura,34,11,Bujumbura Mairie,0,0
1997,11,27,Belfast,603,8,Northern Ireland,,
1984,10,19,Belfast,603,8,Northern Ireland,1,
1987,5,14,Esteli,145,2,,0,
2012,2,23,Baghdad,95,10,Baghdad,2,0
2014,9,17,Naw Zad district,4,6,Helmand,18,18
2011,5,16,Baqubah,95,10,Diyala,0,0
2007,7,4,Baiji,95,10,Saladin,5,
2007,6,10,Tikrit,95,10,Saladin,16,1
1992,9,25,Jinotega,145,2,,0,
1994,1,26,Unknown,209,10,Bingol,10,
1983,10,22,Giron,45,3,Santander,,
2016,8,3,Salvacion Baybay,160,5,Camarines Sur,1,0
2008,11,21,Dera Ismail Khan,153,6,North-West Frontier Province,10,0
1991,1,28,Ankara,209,10,Ankara,0,
2015,2,10,Tirana,5,9,Tirana,0,0
2012,8,19,El Tibiso,45,3,Narino,0,0
2015,10,4,Nahrawan,95,10,Diyala,1,0
2012,3,4,Baghdad,95,10,Baghdad,2,0
2015,6,22,Tika,113,10,Benghazi,3,0
2014,10,29,Harad,228,10,Hajjah,0,0
2011,10,9,Baghdad,95,10,Baghdad,0,0
1996,4,25,Unknown,92,6,Assam,5,
2013,11,10,Gereshk,4,6,Helmand,3,3
2016,11,14,Rutshuru,229,11,North Kivu,2,0
1992,2,6,Azzun,155,10,West Bank,0,
